Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000116544,2,4,6,3,19,10,19,17
ENSG00000236723,18,33,28,21,2,2,2,4
ENSG00000232467,0,0,0,0,4,2,1,1
ENSG00000117016,162,188,123,224,175,63,82,182
ENSG00000163866,1310,1463,1168,1568,643,212,295,670
ENSG00000237130,0,0,0,0,0,1,0,0
ENSG00000232335,1,0,3,4,0,0,0,0
ENSG00000232762,0,0,0,0,0,0,0,0
ENSG00000162384,1094,1195,1319,1562,487,190,260,681
ENSG00000162391,13,11,0,5,0,0,0,0
ENSG00000117859,2409,2728,2750,3035,1644,501,491,1478
ENSG00000162396,456,538,371,593,77,29,52,158
ENSG00000284686,0,1,0,0,1,1,0,0
ENSG00000162378,2091,2314,1693,1950,1579,504,534,1552
ENSG00000259818,5,4,21,11,15,6,4,21
ENSG00000234318,0,0,0,0,0,0,0,1
ENSG00000227485,0,0,0,0,0,0,0,0
ENSG00000236646,0,1,0,0,0,0,1,0
ENSG00000243725,47,43,52,57,15,3,14,31
ENSG00000171872,3,0,0,1,5,2,0,1
ENSG00000162407,323,390,311,513,279,78,178,401
ENSG00000163877,1334,1495,1420,1849,110,37,30,100
ENSG00000228929,179,113,266,746,347,132,162,422
ENSG00000224570,0,0,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0
ENSG00000278967,0,0,0,0,0,0,0,0
ENSG00000157184,2533,2899,4418,6056,325,148,152,442
ENSG00000198815,7203,8099,6058,7198,2736,892,879,2705
ENSG00000134744,5222,6248,4638,5127,2321,735,729,2105
ENSG00000233910,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,0,0
ENSG00000283039,1,0,0,0,0,0,0,0
ENSG00000229294,0,0,0,0,0,0,0,0
ENSG00000236973,0,0,0,0,0,0,0,0
ENSG00000277397,0,0,0,0,0,0,0,0
ENSG00000162385,2082,2171,2632,3336,682,224,326,898
ENSG00000275350,0,0,0,0,0,0,0,0
ENSG00000123080,1493,1730,1254,1679,698,233,255,720
ENSG00000285778,0,0,0,0,0,1,0,0
ENSG00000233407,0,0,0,0,0,0,0,0
ENSG00000162598,0,0,1,0,0,0,0,0
ENSG00000280317,0,0,0,0,0,0,0,0
ENSG00000162415,220,201,142,192,392,165,48,139
ENSG00000162600,3284,3859,6957,6983,521,154,222,692
ENSG00000116704,1,0,3,2,205,89,117,260
ENSG00000157193,1517,1822,1888,1975,663,235,335,844
ENSG00000116205,1064,1205,1247,1463,189,70,81,256
ENSG00000233994,6,11,12,8,10,17,4,0
ENSG00000227556,1,0,0,0,0,0,0,0
ENSG00000162607,3145,3615,3531,3509,3126,996,765,2208
ENSG00000285954,0,0,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0,0,0
ENSG00000154027,30,24,20,55,10,4,13,38
ENSG00000234108,0,0,0,0,1,0,0,0
ENSG00000232676,0,0,0,0,0,0,0,0
ENSG00000213579,0,0,1,1,1,0,0,0
ENSG00000137960,2,3,1,4,4,1,1,3
ENSG00000237852,0,0,3,0,0,2,1,0
ENSG00000132855,3,0,14,14,0,0,0,0
ENSG00000270549,0,0,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0,0,0
ENSG00000116675,148,154,280,334,197,65,138,382
ENSG00000162433,8734,9944,4607,4300,5491,2056,661,1945
ENSG00000213625,1063,1154,1079,1222,1939,667,755,1985
ENSG00000233664,0,0,0,0,0,0,0,0
ENSG00000158966,21,22,79,95,428,121,174,478
ENSG00000213703,3,0,0,0,4,0,3,6
ENSG00000233674,0,0,0,2,0,0,1,1
ENSG00000153898,268,309,306,404,157,59,85,254
ENSG00000117069,3,6,3,9,76,22,14,58
ENSG00000125703,776,1037,1152,1205,236,79,123,313
ENSG00000234144,0,0,0,0,0,0,0,0
ENSG00000277670,0,0,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0,0,0
ENSG00000230498,0,0,0,0,3,0,0,0
ENSG00000162618,1,0,2,0,0,0,0,0
ENSG00000224493,0,0,0,0,0,0,0,0
ENSG00000131233,1,0,0,0,0,0,0,0
ENSG00000229225,0,0,0,0,0,0,0,0
ENSG00000225598,0,0,2,0,0,0,0,0
ENSG00000137941,2149,2355,1485,1484,1183,388,345,875
ENSG00000286548,2,2,1,2,0,0,0,0
ENSG00000066135,2789,2822,2036,2595,220,59,87,237
ENSG00000272094,0,0,0,0,0,0,0,0
ENSG00000228853,0,0,0,0,0,0,0,0
ENSG00000284895,0,0,0,0,0,0,0,0
ENSG00000117174,1994,2373,2777,3152,95,38,77,224
ENSG00000184313,3,5,15,11,0,0,0,0
ENSG00000288543,0,0,0,0,2,0,1,1
ENSG00000122420,1796,2434,3288,3367,8,6,2,14
ENSG00000143013,829,947,1353,1826,306,94,178,439
ENSG00000226084,1787,1924,3019,3514,14,8,0,2
ENSG00000134748,4844,5719,5762,6892,991,373,424,994
ENSG00000142892,2238,2540,2901,2887,1482,543,534,1384
ENSG00000229332,7,14,12,11,0,0,0,0
ENSG00000227937,0,0,0,0,0,0,0,0
ENSG00000229752,0,0,0,1,4,1,0,0
ENSG00000233216,0,0,0,0,0,0,0,0
ENSG00000197273,1,1,0,0,0,0,0,0
ENSG00000226804,0,0,0,0,0,0,0,0
ENSG00000230728,0,0,0,0,0,0,0,0
ENSG00000232846,0,0,0,0,0,0,0,1
ENSG00000230787,2,4,2,8,0,0,0,0
ENSG00000116641,4170,5100,3737,3812,5435,1788,1188,3310
ENSG00000172260,3,0,0,10,108,28,28,80
ENSG00000285473,0,0,0,0,0,0,0,0
ENSG00000234578,2,3,4,4,0,0,0,0
ENSG00000229505,0,0,0,0,0,0,0,0
ENSG00000228187,0,0,0,0,0,0,0,0
ENSG00000182183,10,24,10,14,0,0,0,0
ENSG00000236407,0,0,0,0,0,0,0,0
ENSG00000271949,0,0,0,0,0,0,0,0
ENSG00000227062,0,0,0,0,0,0,0,0
ENSG00000067334,3905,4726,4747,5002,1345,411,546,1518
ENSG00000235011,0,0,0,0,0,0,0,0
ENSG00000213559,0,0,4,1,2,0,0,0
ENSG00000287587,4,5,5,6,1,2,2,2
ENSG00000142949,21151,22788,13105,16900,1073,322,329,946
ENSG00000232882,64,54,31,40,62,30,32,82
ENSG00000171502,36,38,38,60,128,29,62,184
ENSG00000116157,1,0,1,0,0,0,0,0
ENSG00000143036,313,364,194,255,53,20,23,64
ENSG00000065243,4454,5220,4527,4443,3181,1087,991,2975
ENSG00000226960,0,0,0,0,0,0,0,0
ENSG00000234080,0,1,0,0,1,0,1,0
ENSG00000285409,0,0,0,0,0,0,0,0
ENSG00000117528,3206,3663,2865,2589,1360,400,461,1285
ENSG00000271723,0,0,0,0,0,0,0,0
ENSG00000036549,3381,4100,3793,3908,2375,762,837,2464
ENSG00000225191,0,0,0,0,0,0,0,0
ENSG00000287870,7,6,7,8,8,2,1,6
ENSG00000232048,0,0,0,0,0,0,0,0
ENSG00000232857,0,0,0,0,0,0,0,0
ENSG00000273637,0,0,0,0,0,0,0,0
ENSG00000228838,0,0,0,0,0,0,0,0
ENSG00000283761,8,11,5,6,26,10,5,27
ENSG00000189433,0,0,0,0,0,0,0,0
ENSG00000142700,0,3,1,0,0,0,0,0
ENSG00000233514,45,47,48,56,28,12,5,11
ENSG00000127124,278,321,238,354,360,114,265,662
ENSG00000266993,26,22,3,10,13,1,1,2
ENSG00000229316,0,0,0,0,0,0,0,0
ENSG00000234099,0,1,0,0,0,0,0,0
ENSG00000137936,454,473,186,233,5790,1815,1688,4468
ENSG00000232752,0,0,0,0,0,0,0,0
ENSG00000235829,12,13,2,2,0,0,0,0
ENSG00000143032,0,0,0,0,0,0,0,0
ENSG00000280040,2,2,3,2,6,3,4,4
ENSG00000117519,6,1,2,1,14463,4564,5147,14445
ENSG00000238037,0,0,0,0,0,0,0,0
ENSG00000134215,47,55,53,82,461,135,130,350
ENSG00000227935,0,0,0,0,0,0,0,0
ENSG00000228502,238,349,366,429,49,17,13,57
ENSG00000271277,0,0,0,0,0,0,0,0
ENSG00000236888,0,0,0,0,1,0,0,0
ENSG00000230828,0,0,0,0,0,0,0,0
ENSG00000152078,819,853,548,539,866,301,287,776
ENSG00000171492,3218,3569,5287,6006,608,192,333,967
ENSG00000233129,0,0,0,0,0,0,0,0
ENSG00000170989,0,0,1,0,68,14,14,38
ENSG00000237897,0,1,2,3,0,0,0,0
ENSG00000116299,59,65,60,201,92,23,20,82
ENSG00000137962,4154,4891,3930,4228,6894,1992,1475,4614
ENSG00000286692,0,0,5,4,0,0,2,2
ENSG00000260464,156,201,120,124,8,3,6,5
ENSG00000231996,0,0,0,0,0,0,0,0
ENSG00000117154,22,22,1,2,1,0,0,1
ENSG00000162377,1534,1971,2509,2662,322,83,269,630
ENSG00000116774,4,3,1,0,47,10,27,70
ENSG00000287756,0,0,0,0,0,0,0,0
ENSG00000284652,1,2,0,1,0,0,0,0
ENSG00000023909,1574,1934,2140,2099,1877,537,565,1413
ENSG00000069702,744,825,521,502,189,48,95,253
ENSG00000228399,1,1,0,1,0,2,0,0
ENSG00000236776,0,0,0,0,0,0,0,0
ENSG00000271252,0,0,0,0,0,0,0,0
ENSG00000235794,1,0,0,0,0,0,0,0
ENSG00000233983,0,0,0,0,0,0,0,0
ENSG00000198198,4583,4913,2914,3856,821,267,313,868
ENSG00000116793,46,32,20,23,1037,321,314,1029
ENSG00000232918,0,0,0,0,0,0,0,0
ENSG00000183298,19,9,11,45,11,3,1,3
ENSG00000117525,1,0,0,1,395,121,71,239
ENSG00000162699,0,0,0,0,0,0,0,0
ENSG00000203914,51,58,80,133,127,39,36,93
ENSG00000270457,5,4,3,2,9,1,1,4
ENSG00000231987,0,0,0,0,0,0,0,0
ENSG00000229842,0,0,0,0,0,0,0,0
ENSG00000198162,4225,4966,4589,4889,5619,1672,1670,4858
ENSG00000171517,11447,12972,8478,10920,0,0,0,0
ENSG00000203864,0,0,0,0,0,0,0,0
ENSG00000233482,0,0,0,0,0,0,0,0
ENSG00000143079,1868,2129,1522,1817,2232,775,709,2005
ENSG00000232450,1,1,0,1,36,6,10,31
ENSG00000235038,0,0,0,0,0,0,0,0
ENSG00000173947,27,24,42,35,67,23,27,67
ENSG00000134198,4,2,3,7,162,51,82,212
ENSG00000279513,0,2,0,0,2,1,0,1
ENSG00000117620,3007,3021,2915,3309,1003,394,425,1135
ENSG00000162688,1387,1838,1482,1377,528,170,156,423
ENSG00000197106,78,108,67,153,0,0,0,0
ENSG00000231072,0,0,0,0,2,0,0,1
ENSG00000185946,1161,1384,1275,1315,615,199,192,520
ENSG00000162627,575,651,775,907,2188,673,542,1446
ENSG00000265808,1785,2137,2130,2420,529,182,203,665
ENSG00000225923,0,0,0,0,1,0,0,0
ENSG00000134247,3268,3804,3718,4391,2954,1047,1172,3165
ENSG00000162664,3717,4044,3359,3871,1204,390,451,1445
ENSG00000134253,184,188,300,401,126,45,80,234
ENSG00000223416,4,5,6,6,1,3,1,0
ENSG00000179571,2,0,2,2,0,0,0,0
ENSG00000227850,18,32,25,20,34,9,11,23
ENSG00000285532,0,0,0,0,0,0,0,0
ENSG00000226755,0,0,0,0,0,0,0,0
ENSG00000183508,178,187,292,266,1022,342,158,443
ENSG00000277095,0,0,0,0,0,0,0,0
ENSG00000264145,0,0,0,1,0,0,0,0
ENSG00000238256,0,0,0,0,0,0,0,0
ENSG00000198765,2,0,1,0,0,0,0,0
ENSG00000143398,5662,6543,4652,5700,2457,742,933,2480
ENSG00000196505,1754,2100,1514,1665,2834,915,943,2765
ENSG00000223489,0,0,0,0,0,0,0,0
ENSG00000230546,0,0,0,0,0,0,0,0
ENSG00000213262,0,0,0,0,0,0,0,0
ENSG00000287015,0,0,1,0,0,0,0,1
ENSG00000235526,0,0,0,0,0,0,0,0
ENSG00000228347,0,0,0,0,0,0,0,0
ENSG00000236012,1,0,0,0,0,0,0,0
ENSG00000134200,0,0,0,0,0,0,0,0
ENSG00000065183,3199,4222,5255,5861,786,249,517,1262
ENSG00000226126,2,3,0,3,2,2,0,1
ENSG00000163156,1106,1215,1020,1226,393,143,187,504
ENSG00000228453,0,1,0,0,0,0,0,0
ENSG00000261168,1,4,2,11,2,0,1,4
ENSG00000233432,0,1,0,0,5,3,1,4
ENSG00000229911,0,0,0,0,0,0,0,0
ENSG00000171943,205,206,184,229,203,63,54,149
ENSG00000270719,0,0,0,0,0,0,0,0
ENSG00000155761,90,146,75,81,10,2,3,6
ENSG00000116830,1360,1714,1763,1625,706,241,369,1120
ENSG00000234422,0,0,0,0,0,2,0,0
ENSG00000227091,0,0,0,0,0,0,0,0
ENSG00000081026,750,841,1054,1052,180,68,116,285
ENSG00000143458,915,1066,1663,1992,294,105,181,492
ENSG00000230932,0,0,0,0,0,0,0,0
ENSG00000225036,0,0,0,0,0,0,0,0
ENSG00000250890,0,0,0,0,0,0,0,0
ENSG00000232240,0,0,0,0,0,0,0,0
ENSG00000234388,0,0,0,0,0,0,0,0
ENSG00000233717,0,0,0,0,0,0,0,0
ENSG00000163155,401,434,403,561,209,93,98,302
ENSG00000241975,19,18,12,16,6,2,0,7
ENSG00000270976,0,0,0,0,0,0,0,0
ENSG00000228217,1,1,0,3,1,1,0,0
ENSG00000270342,0,0,0,0,0,0,0,0
ENSG00000116824,0,0,0,0,0,0,0,0
ENSG00000235887,0,0,0,0,0,0,0,0
ENSG00000235756,0,0,0,0,0,0,0,0
ENSG00000173810,1,0,0,1,1,0,0,0
ENSG00000271890,0,0,0,0,0,0,0,0
ENSG00000283360,0,0,0,0,3,2,0,3
ENSG00000117262,135,126,119,178,89,35,32,125
ENSG00000227970,0,0,0,0,0,0,0,0
ENSG00000231613,1,0,0,0,1,1,1,1
ENSG00000236689,0,0,0,0,0,0,0,0
ENSG00000226028,0,0,0,0,0,0,0,0
ENSG00000203825,0,0,0,0,0,0,0,0
ENSG00000184371,18,25,37,65,221,107,272,718
ENSG00000233449,0,0,0,0,0,0,0,0
ENSG00000242943,0,0,0,0,0,0,0,0
ENSG00000232499,211,237,325,307,40,7,11,28
ENSG00000163154,0,0,0,0,0,0,0,0
ENSG00000232995,95,100,126,128,110,53,48,147
ENSG00000238087,0,0,0,0,0,0,0,0
ENSG00000143158,14842,18995,15487,17766,1131,396,364,1058
ENSG00000271092,2,8,8,14,3,0,4,5
ENSG00000232148,0,0,0,0,0,0,0,0
ENSG00000000460,399,517,559,512,442,170,196,486
ENSG00000135862,35153,41774,20303,21605,1442,466,462,1361
ENSG00000232952,1310,1563,1456,1293,126,34,49,176
ENSG00000260322,0,0,0,0,0,0,0,0
ENSG00000143156,1448,1649,1860,2239,1668,513,516,1437
ENSG00000198771,5,7,14,8,51,7,12,28
ENSG00000225462,3,1,3,9,4,2,2,4
ENSG00000237756,0,0,0,0,0,0,0,0
ENSG00000271187,0,0,0,0,0,0,0,0
ENSG00000231175,0,0,0,0,0,0,1,1
ENSG00000143185,0,0,0,0,0,0,0,0
ENSG00000272931,37,43,51,80,5,0,3,9
ENSG00000143190,1464,1645,1185,1366,1792,624,583,1730
ENSG00000225475,164,104,215,620,2,2,0,2
ENSG00000232223,0,0,0,0,0,0,0,0
ENSG00000224468,0,0,0,0,0,0,0,0
ENSG00000232551,0,2,0,0,0,0,0,0
ENSG00000238270,0,0,0,0,0,0,0,0
ENSG00000236025,0,0,0,0,0,0,0,0
ENSG00000230704,0,1,1,2,0,0,0,0
ENSG00000286754,0,0,0,0,0,0,0,0
ENSG00000143171,1,5,9,9,8,1,0,6
ENSG00000275767,0,0,0,0,0,0,0,0
ENSG00000047410,10173,11414,10240,10246,1439,481,559,1598
ENSG00000171806,333,407,719,743,315,106,133,311
ENSG00000134216,0,1,1,1,0,0,0,0
ENSG00000230748,0,0,0,0,0,0,0,0
ENSG00000238108,0,0,0,0,1,0,0,0
ENSG00000135842,219,251,546,991,438,128,184,545
ENSG00000287472,0,0,0,0,0,0,0,0
ENSG00000241318,37,41,42,40,37,13,14,33
ENSG00000228238,1,0,3,1,0,0,0,0
ENSG00000232393,1,0,3,1,5,1,0,0
ENSG00000184155,0,0,0,0,0,0,0,0
ENSG00000058085,6,14,7,3,3150,1111,1110,2921
ENSG00000232917,9,16,11,17,2,1,0,0
ENSG00000233057,23,25,17,36,1,0,0,0
ENSG00000143167,1,5,1,4,1,1,0,3
ENSG00000143184,0,0,0,3,0,0,0,0
ENSG00000224691,0,0,0,0,0,0,0,0
ENSG00000233626,1,0,0,0,0,0,0,0
ENSG00000143228,2359,2588,2458,2262,287,115,113,306
ENSG00000231714,0,0,0,0,0,0,0,0
ENSG00000116833,32,33,43,58,31,15,12,37
ENSG00000000457,760,820,587,649,97,25,33,104
ENSG00000285638,0,0,0,0,0,0,0,0
ENSG00000230987,0,0,1,2,2,1,0,4
ENSG00000228167,0,0,0,0,2,0,1,0
ENSG00000150732,0,0,0,0,0,0,0,0
ENSG00000157064,977,1184,1122,1481,307,116,110,351
ENSG00000288139,0,0,0,0,0,0,0,0
ENSG00000059588,1431,1464,1979,2118,333,106,134,404
ENSG00000162782,0,0,1,1,0,0,0,0
ENSG00000238051,0,0,0,0,0,0,0,0
ENSG00000233196,0,0,0,0,0,0,0,0
ENSG00000229220,0,0,0,0,0,0,0,0
ENSG00000227747,1,2,3,2,1,0,0,1
ENSG00000228081,0,0,0,0,0,0,0,0
ENSG00000228020,2,1,1,5,0,0,0,0
ENSG00000234975,490,481,397,613,18,4,3,2
ENSG00000162851,562,780,1125,1344,303,102,153,338
ENSG00000271427,19,22,23,27,4,2,1,10
ENSG00000143353,2332,2794,3509,4080,819,327,325,817
ENSG00000197965,9230,10744,8146,9791,4101,1310,1585,3931
ENSG00000143493,1598,2068,2226,2447,1927,533,625,1750
ENSG00000230777,1,1,2,5,0,0,0,0
ENSG00000179397,10,11,9,30,33,5,10,19
ENSG00000224540,0,0,2,0,0,0,0,0
ENSG00000186197,0,2,1,4,97,39,50,118
ENSG00000229067,1,4,1,1,1,0,0,1
ENSG00000261182,0,0,0,0,0,0,0,0
ENSG00000162670,12,31,25,24,2,0,0,1
ENSG00000225712,0,0,0,1,2,0,0,0
ENSG00000162761,19,5,5,4,3,0,2,6
ENSG00000143199,51,59,69,58,2,2,3,5
ENSG00000007908,0,4,1,2,0,0,0,0
ENSG00000092978,2151,2520,1777,1787,957,289,331,908
ENSG00000188404,154,220,349,419,24,10,15,37
ENSG00000274702,0,0,0,0,0,0,0,0
ENSG00000226211,0,0,0,0,0,0,0,0
ENSG00000203697,24,57,18,13,23,5,3,13
ENSG00000116574,4782,6281,2947,3545,137,32,39,100
ENSG00000143248,548,559,142,110,113,31,23,65
ENSG00000162814,94,108,154,158,97,38,39,103
ENSG00000225172,0,0,0,0,0,0,0,0
ENSG00000261642,0,0,0,0,0,0,0,0
ENSG00000228239,0,0,0,0,0,0,0,0
ENSG00000237283,0,0,0,0,0,0,0,0
ENSG00000116132,0,0,0,0,5,0,1,7
ENSG00000229242,0,0,0,0,0,0,0,0
ENSG00000152092,10,17,15,42,0,0,1,0
ENSG00000234984,0,0,1,0,0,0,0,0
ENSG00000229983,0,0,0,0,1,0,0,0
ENSG00000225122,0,0,0,0,0,0,0,0
ENSG00000225920,0,0,0,0,0,0,0,0
ENSG00000143476,1186,1402,1713,1626,3155,1211,1558,3921
ENSG00000057252,1550,1936,1712,1771,779,229,265,781
ENSG00000285718,0,0,0,0,0,0,0,0
ENSG00000233018,2,0,1,0,0,0,0,1
ENSG00000224783,0,0,0,0,0,0,0,0
ENSG00000162852,2009,2452,2292,2722,361,133,119,346
ENSG00000268062,0,0,0,1,0,0,0,0
ENSG00000116962,3,0,8,7,617,192,131,449
ENSG00000229757,0,0,0,0,0,0,0,0
ENSG00000220749,8,14,18,14,5,2,3,3
ENSG00000181450,2228,2680,2276,1900,1076,383,356,1045
ENSG00000225300,2,0,1,0,0,0,0,1
ENSG00000223842,0,0,0,0,0,0,0,0
ENSG00000143355,1,1,2,6,12,3,2,8
ENSG00000237193,0,0,0,0,0,0,0,0
ENSG00000223490,0,0,0,0,0,0,0,0
ENSG00000174502,1,2,2,1,7,2,3,14
ENSG00000143195,23,34,79,77,309,108,160,426
ENSG00000162849,21,20,4,10,9,1,4,5
ENSG00000232824,0,0,0,0,0,0,0,0
ENSG00000067533,1410,1642,1847,1902,509,157,298,837
ENSG00000228955,0,0,1,0,0,0,0,0
ENSG00000224702,0,0,0,0,0,0,0,0
ENSG00000271811,0,0,0,0,0,0,0,0
ENSG00000224278,0,0,0,0,0,0,0,0
ENSG00000226486,0,0,0,0,0,0,0,0
ENSG00000227687,0,0,0,0,0,0,0,0
ENSG00000231814,0,0,0,0,0,0,0,0
ENSG00000277007,39,54,62,46,34,11,13,28
ENSG00000229016,0,0,0,0,0,0,0,0
ENSG00000152104,447,497,457,525,794,265,280,671
ENSG00000117650,2625,2829,3114,3081,1133,377,457,1157
ENSG00000203724,27,19,39,46,6,3,2,6
ENSG00000225006,0,0,0,0,0,0,0,0
ENSG00000223375,0,0,0,0,0,2,0,0
ENSG00000230714,0,0,0,0,0,0,0,0
ENSG00000173726,12835,14002,12525,16103,242,82,76,293
ENSG00000282852,0,0,0,0,0,0,0,0
